time;temperature;pressure;humidity;pm1;pm2.5;pm10;co2;o3;voc;noise;time;ch2o
1638732767;2.51;99613;85.9;24;30;34;550;20;210685;58.35;5.12.2021 19:32;18
1638732826;2.49;99612;85.9;23;29;33;550;20;210263;54.85;5.12.2021 19:33;11
1638732886;2.48;99617;85.9;24;30;34;544;20;211967;55.35;5.12.2021 19:34;17
1638732945;2.48;99621;85.9;24;30;34;538;20;200455;56.85;5.12.2021 19:35;13
1638733005;2.46;99622;85.9;24;30;34;539;20;196664;57.35;5.12.2021 19:36;10
1638733065;2.44;99624;85.9;25;31;35;540;20;175669;63.35;5.12.2021 19:37;15
1638733125;2.43;99622;85.9;25;31;35;546;20;179467;58.85;5.12.2021 19:38;12
1638733186;2.44;99619;85.9;24;30;34;549;20;183620;53.85;5.12.2021 19:39;14
1638733245;2.45;99616;85.9;25;31;35;550;20;186971;58.35;5.12.2021 19:40;15
1638733305;2.46;99616;85.9;25;31;35;545;20;188645;59.85;5.12.2021 19:41;14
1638733365;2.48;99613;85.9;26;32;36;545;20;191460;55.35;5.12.2021 19:42;14
1638733426;2.48;99614;85.9;23;29;32;545;20;198476;58.85;5.12.2021 19:43;14
1638733485;2.45;99611;85.9;22;28;31;544;20;183360;56.35;5.12.2021 19:44;13
1638733545;2.42;99614;85.9;23;29;32;546;20;180002;55.35;5.12.2021 19:45;13
1638733607;2.41;99613;85.9;22;28;32;542;20;187028;55.85;5.12.2021 19:46;14
1638733666;2.4;99613;85.9;22;27;30;546;20;196348;56.35;5.12.2021 19:47;16
1638733726;2.39;99610;85.4;21;26;29;547;20;203146;55.85;5.12.2021 19:48;15
1638733786;2.38;99608;85.4;22;27;30;546;20;204291;58.85;5.12.2021 19:49;11
1638733845;2.36;99604;85.9;23;29;32;550;20;207037;57.35;5.12.2021 19:50;15
1638733905;2.34;99601;85.9;23;29;32;550;20;209327;56.35;5.12.2021 19:51;13
1638733965;2.31;99600;85.9;22;28;32;545;20;188269;55.35;5.12.2021 19:52;16
1638734025;2.23;99603;85.9;23;29;32;538;20;189196;57.85;5.12.2021 19:53;18
1638734086;2.11;99600;86.4;23;29;32;535;20;194086;55.35;5.12.2021 19:54;15
1638734146;2.05;99596;86.4;24;30;34;539;24;183102;56.85;5.12.2021 19:55;17
1638734205;2.03;99593;86.9;23;29;33;552;22;183461;60.35;5.12.2021 19:56;13
1638734269;2.02;99591;86.9;23;29;32;552;20;191411;58.85;5.12.2021 19:57;17
1638734325;2.01;99591;86.9;25;31;35;553;20;189577;58.85;5.12.2021 19:58;14
1638734387;2.02;99593;86.9;25;31;35;556;20;193849;56.85;5.12.2021 19:59;12
1638734445;2.03;99593;86.9;23;29;33;552;20;195765;55.85;5.12.2021 20:00;17
1638734506;2.02;99596;86.9;22;28;31;549;20;196386;54.85;5.12.2021 20:01;14
1638734565;1.99;99599;86.9;22;27;30;541;20;208355;54.85;5.12.2021 20:02;14
1638734625;1.94;99602;86.9;22;28;32;538;20;210269;58.35;5.12.2021 20:03;15
